Time,Year,Day,Link
2343,2018,16,https://adventofcode.com/2018/day/16
5047,2018,17,https://adventofcode.com/2018/day/17
1319,2018,18,https://adventofcode.com/2018/day/18
3666,2018,19,https://adventofcode.com/2018/day/19
3570,2018,20,https://adventofcode.com/2018/day/20
3661,2018,21,https://adventofcode.com/2018/day/21
3756,2018,22,https://adventofcode.com/2018/day/22
6041,2018,23,https://adventofcode.com/2018/day/23
5230,2018,24,https://adventofcode.com/2018/day/24
806,2018,25,https://adventofcode.com/2018/day/25
252,2019,1,https://adventofcode.com/2019/day/1
642,2019,2,https://adventofcode.com/2019/day/2
823,2019,3,https://adventofcode.com/2019/day/3
385,2019,4,https://adventofcode.com/2019/day/4
1351,2019,5,https://adventofcode.com/2019/day/5
711,2019,6,https://adventofcode.com/2019/day/6
1833,2019,7,https://adventofcode.com/2019/day/7
620,2019,8,https://adventofcode.com/2019/day/8
886,2019,9,https://adventofcode.com/2019/day/9
2566,2019,10,https://adventofcode.com/2019/day/10
957,2019,11,https://adventofcode.com/2019/day/11
2197,2019,12,https://adventofcode.com/2019/day/12
1226,2019,13,https://adventofcode.com/2019/day/13
2538,2019,14,https://adventofcode.com/2019/day/14
2330,2019,15,https://adventofcode.com/2019/day/15
4100,2019,16,https://adventofcode.com/2019/day/16
2713,2019,17,https://adventofcode.com/2019/day/17
7046,2019,18,https://adventofcode.com/2019/day/18
1679,2019,19,https://adventofcode.com/2019/day/19
3226,2019,20,https://adventofcode.com/2019/day/20
2010,2019,21,https://adventofcode.com/2019/day/21
7426,2019,22,https://adventofcode.com/2019/day/22
1253,2019,23,https://adventofcode.com/2019/day/23
2538,2019,24,https://adventofcode.com/2019/day/24
2101,2019,25,https://adventofcode.com/2019/day/25
465,2020,1,https://adventofcode.com/2020/day/1
272,2020,2,https://adventofcode.com/2020/day/2
296,2020,3,https://adventofcode.com/2020/day/3
775,2020,4,https://adventofcode.com/2020/day/4
349,2020,5,https://adventofcode.com/2020/day/5
275,2020,6,https://adventofcode.com/2020/day/6
824,2020,7,https://adventofcode.com/2020/day/7
468,2020,8,https://adventofcode.com/2020/day/8
386,2020,9,https://adventofcode.com/2020/day/9
522,2020,10,https://adventofcode.com/2020/day/10
846,2020,11,https://adventofcode.com/2020/day/11
658,2020,12,https://adventofcode.com/2020/day/12
974,2020,13,https://adventofcode.com/2020/day/13
970,2020,14,https://adventofcode.com/2020/day/14
564,2020,15,https://adventofcode.com/2020/day/15
1263,2020,16,https://adventofcode.com/2020/day/16
796,2020,17,https://adventofcode.com/2020/day/17
849,2020,18,https://adventofcode.com/2020/day/18
1720,2020,19,https://adventofcode.com/2020/day/19
4427,2020,20,https://adventofcode.com/2020/day/20
965,2020,21,https://adventofcode.com/2020/day/21
1253,2020,22,https://adventofcode.com/2020/day/22
2386,2020,23,https://adventofcode.com/2020/day/23
925,2020,24,https://adventofcode.com/2020/day/24
451,2020,25,https://adventofcode.com/2020/day/25
164,2021,1,https://adventofcode.com/2021/day/1
177,2021,2,https://adventofcode.com/2021/day/2
617,2021,3,https://adventofcode.com/2021/day/3
673,2021,4,https://adventofcode.com/2021/day/4
533,2021,5,https://adventofcode.com/2021/day/5
347,2021,6,https://adventofcode.com/2021/day/6
213,2021,7,https://adventofcode.com/2021/day/7
1251,2021,8,https://adventofcode.com/2021/day/8
631,2021,9,https://adventofcode.com/2021/day/9
486,2021,10,https://adventofcode.com/2021/day/10
589,2021,11,https://adventofcode.com/2021/day/11
760,2021,12,https://adventofcode.com/2021/day/12
578,2021,13,https://adventofcode.com/2021/day/13
848,2021,14,https://adventofcode.com/2021/day/14
865,2021,15,https://adventofcode.com/2021/day/15
1649,2021,16,https://adventofcode.com/2021/day/16
721,2021,17,https://adventofcode.com/2021/day/17
2630,2021,18,https://adventofcode.com/2021/day/18
3895,2021,19,https://adventofcode.com/2021/day/19
1137,2021,20,https://adventofcode.com/2021/day/20
1244,2021,21,https://adventofcode.com/2021/day/21
2634,2021,22,https://adventofcode.com/2021/day/22
4238,2021,23,https://adventofcode.com/2021/day/23
4605,2021,24,https://adventofcode.com/2021/day/24
574,2021,25,https://adventofcode.com/2021/day/25
125,2022,1,https://adventofcode.com/2022/day/1
376,2022,2,https://adventofcode.com/2022/day/2
324,2022,3,https://adventofcode.com/2022/day/3
202,2022,4,https://adventofcode.com/2022/day/4
478,2022,5,https://adventofcode.com/2022/day/5
145,2022,6,https://adventofcode.com/2022/day/6
887,2022,7,https://adventofcode.com/2022/day/7
612,2022,8,https://adventofcode.com/2022/day/8
848,2022,9,https://adventofcode.com/2022/day/9
737,2022,10,https://adventofcode.com/2022/day/10
1085,2022,11,https://adventofcode.com/2022/day/11
586,2022,12,https://adventofcode.com/2022/day/12
776,2022,13,https://adventofcode.com/2022/day/13
834,2022,14,https://adventofcode.com/2022/day/14
1634,2022,15,https://adventofcode.com/2022/day/15
3857,2022,16,https://adventofcode.com/2022/day/16
2448,2022,17,https://adventofcode.com/2022/day/17
749,2022,18,https://adventofcode.com/2022/day/18
3465,2022,19,https://adventofcode.com/2022/day/19
1274,2022,20,https://adventofcode.com/2022/day/20
975,2022,21,https://adventofcode.com/2022/day/21
4471,2022,22,https://adventofcode.com/2022/day/22
1483,2022,23,https://adventofcode.com/2022/day/23
1608,2022,24,https://adventofcode.com/2022/day/24
510,2022,25,https://adventofcode.com/2022/day/25
423,2023,1,https://adventofcode.com/2023/day/1
375,2023,2,https://adventofcode.com/2023/day/2
697,2023,3,https://adventofcode.com/2023/day/3
428,2023,4,https://adventofcode.com/2023/day/4
1597,2023,5,https://adventofcode.com/2023/day/5
302,2023,6,https://adventofcode.com/2023/day/6
960,2023,7,https://adventofcode.com/2023/day/7
616,2023,8,https://adventofcode.com/2023/day/8
336,2023,9,https://adventofcode.com/2023/day/9
2191,2023,10,https://adventofcode.com/2023/day/10
558,2023,11,https://adventofcode.com/2023/day/11
1377,2023,12,https://adventofcode.com/2023/day/12
826,2023,13,https://adventofcode.com/2023/day/13
1035,2023,14,https://adventofcode.com/2023/day/14
664,2023,15,https://adventofcode.com/2023/day/15
930,2023,16,https://adventofcode.com/2023/day/16
1200,2023,17,https://adventofcode.com/2023/day/17
1255,2023,18,https://adventofcode.com/2023/day/18
1752,2023,19,https://adventofcode.com/2023/day/19
2926,2023,20,https://adventofcode.com/2023/day/20
4743,2023,21,https://adventofcode.com/2023/day/21
1788,2023,22,https://adventofcode.com/2023/day/22
2300,2023,23,https://adventofcode.com/2023/day/23
3730,2023,24,https://adventofcode.com/2023/day/24
841,2023,25,https://adventofcode.com/2023/day/25
151,2024,1,https://adventofcode.com/2024/day/1
282,2024,2,https://adventofcode.com/2024/day/2
202,2024,3,https://adventofcode.com/2024/day/3
341,2024,4,https://adventofcode.com/2024/day/4
223,2024,5,https://adventofcode.com/2024/day/5
533,2024,6,https://adventofcode.com/2024/day/6
227,2024,7,https://adventofcode.com/2024/day/7
432,2024,8,https://adventofcode.com/2024/day/8
845,2024,9,https://adventofcode.com/2024/day/9
254,2024,10,https://adventofcode.com/2024/day/10
384,2024,11,https://adventofcode.com/2024/day/11
1062,2024,12,https://adventofcode.com/2024/day/12
664,2024,13,https://adventofcode.com/2024/day/13
948,2024,14,https://adventofcode.com/2024/day/14
1920,2024,15,https://adventofcode.com/2024/day/15
827,2024,16,https://adventofcode.com/2024/day/16
2679,2024,17,https://adventofcode.com/2024/day/17
355,2024,18,https://adventofcode.com/2024/day/18
196,2024,19,https://adventofcode.com/2024/day/19
958,2024,20,https://adventofcode.com/2024/day/20
3683,2024,21,https://adventofcode.com/2024/day/21
735,2024,22,https://adventofcode.com/2024/day/22
307,2024,23,https://adventofcode.com/2024/day/23
3673,2024,24,https://adventofcode.com/2024/day/24
274,2024,25,https://adventofcode.com/2024/day/25
